"Route 330 Inbound Weekday S Route 330 Weekday Service Inbound 2010-09-06 to 2011-09-06-3 07:12","1","East Genesee St. & Jamesville Rd.","Genesee St. & Wescott St.","http://maps.google.com/maps?f=d&source=s_d&saddr=43.035234,-76.067665&daddr=43.045537,-76.119676"
"Route 330 Inbound Weekday S Route 330 Weekday Service Inbound 2010-09-06 to 2011-09-06-3 07:12","2","Genesee St. & Wescott St.","Westcott St. & Euclid Ave.","http://maps.google.com/maps?f=d&source=s_d&saddr=43.045537,-76.119676&daddr=43.036818,-76.118941"
"Route 330 Inbound Weekday S Route 330 Weekday Service Inbound 2010-09-06 to 2011-09-06-3 07:12","3","Westcott St. & Euclid Ave.","Bird Library University Place","http://maps.google.com/maps?f=d&source=s_d&saddr=43.036818,-76.118941&daddr=43.0362842,-76.1297081+to:43.039392,-76.133207&hl=en&geocode=FZKwkAIdY4R2-w%3BFXyukAIdVFp2-ymZI4u1dfPZiTGKHCl7mIBqjA%3BFaC6kAIdqUx2-w&mra=dpe&mrsp=1&sz=15&via=1&sll=43.037865,-76.12607&sspn=0.011731,0.02017&ie=UTF8&t=h&z=15"
"Route 330 Inbound Weekday S Route 330 Weekday Service Inbound 2010-09-06 to 2011-09-06-3 07:12","4","Bird Library University Place","Archibold Theater Irving Ave.","http://maps.google.com/maps?f=d&source=s_d&saddr=43.039392,-76.133207&daddr=43.0404322,-76.1366907+to:43.046492,-76.137756&hl=en&geocode=FaC6kAIdqUx2-w%3BFbC-kAIdDj92-ylxLJdDn_PZiTEiJcliIwmAxw%3BFVzWkAId5Dp2-w&mra=dpe&mrsp=1&sz=16&via=1&sll=43.040179,-76.136885&sspn=0.00585,0.008755&ie=UTF8&t=h&z=16"
"Route 330 Inbound Weekday S Route 330 Weekday Service Inbound 2010-09-06 to 2011-09-06-3 07:12","5","Archibold Theater Irving Ave.","Downtown Fayette & Salina Sts.","http://maps.google.com/maps?f=d&source=s_d&saddr=43.046492,-76.137756&daddr=43.0484128,-76.1377217+to:43.04869,-76.152224&hl=en&geocode=FVzWkAId5Dp2-w%3BFdzdkAIdBzt2-ymdjAmApvPZiTF-4h1UaKGKaQ%3BFfLekAIdYAJ2-w&mra=dpe&mrsp=1&sz=16&via=1&sll=43.047189,-76.143215&sspn=0.005849,0.01693&ie=UTF8&t=h&z=16"
"Route 430 Inbound Weekday S Route 430 Weekday Service Inbound 2010-09-06 to 2011-09-06-4 07:23","0","Rt 481","East Genesee St. & Jamesville Rd.","http://maps.google.com/maps?f=d&source=s_d&saddr=43.010874,-76.074604&daddr=43.035234,-76.067665"
"Route 430 Inbound Weekday S Route 430 Weekday Service Inbound 2010-09-06 to 2011-09-06-4 07:23","1","East Genesee St. & Jamesville Rd.","Genesee St. & Wescott St.","http://maps.google.com/maps?f=d&source=s_d&saddr=43.035234,-76.067665&daddr=43.045537,-76.119676"
"Route 430 Inbound Weekday S Route 430 Weekday Service Inbound 2010-09-06 to 2011-09-06-4 07:23","2","Genesee St. & Wescott St.","Downtown Fayette & Salina Sts.","http://maps.google.com/maps?f=d&source=s_d&saddr=43.045537,-76.119676&daddr=43.04859,-76.14556+to:43.04869,-76.152224&hl=en&geocode=FaHSkAIdhIF2-w%3BFY7ekAIdaBx2-ymnf1AQu_PZiTE3nTkIRY5DfA%3BFfLekAIdYAJ2-w&mra=dpe&mrsp=1&sz=16&via=1&sll=43.048506,-76.147742&sspn=0.005849,0.008755&ie=UTF8&t=h&z=16"
"Route 430 Inbound Weekday S Route 430 Weekday Service Inbound 2010-09-06 to 2011-09-06-5 07:53","0","Rt 481","East Genesee St. & Jamesville Rd.","http://maps.google.com/maps?f=d&source=s_d&saddr=43.010874,-76.074604&daddr=43.035234,-76.067665"
"Route 430 Inbound Weekday S Route 430 Weekday Service Inbound 2010-09-06 to 2011-09-06-5 07:53","1","East Genesee St. & Jamesville Rd.","Genesee St. & Wescott St.","http://maps.google.com/maps?f=d&source=s_d&saddr=43.035234,-76.067665&daddr=43.045537,-76.119676"
"Route 430 Inbound Weekday S Route 430 Weekday Service Inbound 2010-09-06 to 2011-09-06-5 07:53","2","Genesee St. & Wescott St.","Downtown Fayette & Salina Sts.","http://maps.google.com/maps?f=d&source=s_d&saddr=43.045537,-76.119676&daddr=43.04859,-76.14556+to:43.04869,-76.152224&hl=en&geocode=FaHSkAIdhIF2-w%3BFY7ekAIdaBx2-ymnf1AQu_PZiTE3nTkIRY5DfA%3BFfLekAIdYAJ2-w&mra=dpe&mrsp=1&sz=16&via=1&sll=43.048506,-76.147742&sspn=0.005849,0.008755&ie=UTF8&t=h&z=16"
"Route 130 Inbound Weekday S Route 130 Weekday Service Inbound 2010-09-06 to 2011-09-06-6 07:55","0","Nottingham H.S.","Genesee St. & Wescott St.","http://maps.google.com/maps?f=d&source=s_d&saddr=43.042499,-76.096925&daddr=43.0417869,-76.1007492+to:43.045537,-76.119676&hl=en&geocode=FcPGkAIdY9p2-w%3BFfrDkAIdc8t2-ynNrsM0OvPZiTFvyvgz_u7uGw%3BFaHSkAIdhIF2-w&mra=dpe&mrsp=1&sz=17&via=1&sll=43.042681,-76.099377&sspn=0.002925,0.004377&ie=UTF8&t=h&z=17"
"Route 130 Inbound Weekday S Route 130 Weekday Service Inbound 2010-09-06 to 2011-09-06-6 07:55","1","Genesee St. & Wescott St.","Westcott St. & Euclid Ave.","http://maps.google.com/maps?f=d&source=s_d&saddr=43.045537,-76.119676&daddr=43.036818,-76.118941"
"Route 130 Inbound Weekday S Route 130 Weekday Service Inbound 2010-09-06 to 2011-09-06-6 07:55","2","Westcott St. & Euclid Ave.","Bird Library University Place","http://maps.google.com/maps?f=d&source=s_d&saddr=43.036818,-76.118941&daddr=43.0362842,-76.1297081+to:43.039392,-76.133207&hl=en&geocode=FZKwkAIdY4R2-w%3BFXyukAIdVFp2-ymZI4u1dfPZiTGKHCl7mIBqjA%3BFaC6kAIdqUx2-w&mra=dpe&mrsp=1&sz=15&via=1&sll=43.037865,-76.12607&sspn=0.011731,0.02017&ie=UTF8&t=h&z=15"
