"Route 340 Outbound Weekday S Route 340 Weekday Service Outbound 2011-05-06 to 2012-09-05-3 06:38","1","Civic Center State & Madison","Upstate University Hospital","http://maps.google.com/maps?f=d&source=s_d&saddr=43.045485,-76.147508&daddr=43.042686,-76.140552"
"Route 340 Outbound Weekday S Route 340 Weekday Service Outbound 2011-05-06 to 2012-09-05-3 06:38","2","Upstate University Hospital","College Place","http://maps.google.com/maps?f=d&source=s_d&saddr=43.042686,-76.140552&daddr=43.0442208,-76.137872+to:43.0403791,-76.136663+to:43.037288,-76.131468&hl=en&geocode=FX7HkAId-C92-w%3BFXzNkAIdcDp2-ynDi03bo_PZiTEwtfamaib2Iw%3BFXu-kAIdKT92-ylxLJdDn_PZiTEjJcliIwmAxw%3BFWiykAIddFN2-w&mra=dpe&mrsp=2&sz=16&via=1,2&sll=43.040744,-76.135533&sspn=0.005865,0.010042&ie=UTF8&t=h&z=16"
"Route 340 Outbound Weekday S Route 340 Weekday Service Outbound 2011-05-06 to 2012-09-05-3 06:38","3","College Place","Meadowbrook & Lancaster","http://maps.google.com/maps?f=d&source=s_d&saddr=43.037288,-76.131468&daddr=43.0366,-76.12317+to:43.024648,-76.121802&hl=en&geocode=FWiykAIddFN2-w%3BFbivkAId3nN2-ynJJhapc_PZiTGFxc96l2PdvQ%3BFQiBkAIdNnl2-w&mra=dvme&mrsp=1&sz=18&via=1&sll=43.036497,-76.122884&sspn=0.001466,0.002511&ie=UTF8&t=h&z=18"
"Route 340 Outbound Weekday S Route 340 Weekday Service Outbound 2011-05-06 to 2012-09-05-3 06:38","4","Meadowbrook & Lancaster","Drumlins","http://maps.google.com/maps?f=d&source=s_d&saddr=43.024648,-76.121802&daddr=43.027148,-76.1181005+to:43.032147,-76.1147881+to:43.03479,-76.11498+to:43.020828,-76.105612&hl=en&geocode=FQiBkAIdNnl2-w%3BFcyKkAIdrId2-yltvI4PZfPZiTH3v_g_iSmHRA%3BFVOekAIdnJR2-yln6gDLbvPZiTHDqGx2EKz4-A%3BFaaokAId3JN2-ykNFZEGbPPZiTHHsiMGhMBoHw%3BFRxykAIddLh2-w&mra=dpe&mrsp=3&sz=16&via=1,2,3&sll=43.033168,-76.11474&sspn=0.005866,0.010042&ie=UTF8&ll=43.023365,-76.111329&spn=0.005867,0.010042&t=h&z=16"
"Route 340 Outbound Weekday S Route 340 Weekday Service Outbound 2011-05-06 to 2012-09-05-4 07:05","0","DOWNTOWN Fayette & Salina Sts.","Civic Center State & Madison","http://maps.google.com/maps?f=d&source=s_d&saddr=43.048677,-76.152228&daddr=43.045485,-76.147508"
"Route 340 Outbound Weekday S Route 340 Weekday Service Outbound 2011-05-06 to 2012-09-05-4 07:05","1","Civic Center State & Madison","Upstate University Hospital","http://maps.google.com/maps?f=d&source=s_d&saddr=43.045485,-76.147508&daddr=43.042686,-76.140552"
"Route 340 Outbound Weekday S Route 340 Weekday Service Outbound 2011-05-06 to 2012-09-05-4 07:05","2","Upstate University Hospital","College Place","http://maps.google.com/maps?f=d&source=s_d&saddr=43.042686,-76.140552&daddr=43.0442208,-76.137872+to:43.0403791,-76.136663+to:43.037288,-76.131468&hl=en&geocode=FX7HkAId-C92-w%3BFXzNkAIdcDp2-ynDi03bo_PZiTEwtfamaib2Iw%3BFXu-kAIdKT92-ylxLJdDn_PZiTEjJcliIwmAxw%3BFWiykAIddFN2-w&mra=dpe&mrsp=2&sz=16&via=1,2&sll=43.040744,-76.135533&sspn=0.005865,0.010042&ie=UTF8&t=h&z=16"
"Route 340 Outbound Weekday S Route 340 Weekday Service Outbound 2011-05-06 to 2012-09-05-4 07:05","3","College Place","Meadowbrook & Lancaster","http://maps.google.com/maps?f=d&source=s_d&saddr=43.037288,-76.131468&daddr=43.0366,-76.12317+to:43.024648,-76.121802&hl=en&geocode=FWiykAIddFN2-w%3BFbivkAId3nN2-ynJJhapc_PZiTGFxc96l2PdvQ%3BFQiBkAIdNnl2-w&mra=dvme&mrsp=1&sz=18&via=1&sll=43.036497,-76.122884&sspn=0.001466,0.002511&ie=UTF8&t=h&z=18"
"Route 340 Outbound Weekday S Route 340 Weekday Service Outbound 2011-05-06 to 2012-09-05-4 07:05","4","Meadowbrook & Lancaster","Drumlins","http://maps.google.com/maps?f=d&source=s_d&saddr=43.024648,-76.121802&daddr=43.027148,-76.1181005+to:43.032147,-76.1147881+to:43.03479,-76.11498+to:43.020828,-76.105612&hl=en&geocode=FQiBkAIdNnl2-w%3BFcyKkAIdrId2-yltvI4PZfPZiTH3v_g_iSmHRA%3BFVOekAIdnJR2-yln6gDLbvPZiTHDqGx2EKz4-A%3BFaaokAId3JN2-ykNFZEGbPPZiTHHsiMGhMBoHw%3BFRxykAIddLh2-w&mra=dpe&mrsp=3&sz=16&via=1,2,3&sll=43.033168,-76.11474&sspn=0.005866,0.010042&ie=UTF8&ll=43.023365,-76.111329&spn=0.005867,0.010042&t=h&z=16"
"Route 340 Outbound Weekday S Route 340 Weekday Service Outbound 2011-05-06 to 2012-09-05-5 08:03","0","DOWNTOWN Fayette & Salina Sts.","Civic Center State & Madison","http://maps.google.com/maps?f=d&source=s_d&saddr=43.048677,-76.152228&daddr=43.045485,-76.147508"
"Route 340 Outbound Weekday S Route 340 Weekday Service Outbound 2011-05-06 to 2012-09-05-5 08:03","1","Civic Center State & Madison","Upstate University Hospital","http://maps.google.com/maps?f=d&source=s_d&saddr=43.045485,-76.147508&daddr=43.042686,-76.140552"
"Route 340 Outbound Weekday S Route 340 Weekday Service Outbound 2011-05-06 to 2012-09-05-5 08:03","2","Upstate University Hospital","College Place","http://maps.google.com/maps?f=d&source=s_d&saddr=43.042686,-76.140552&daddr=43.0442208,-76.137872+to:43.0403791,-76.136663+to:43.037288,-76.131468&hl=en&geocode=FX7HkAId-C92-w%3BFXzNkAIdcDp2-ynDi03bo_PZiTEwtfamaib2Iw%3BFXu-kAIdKT92-ylxLJdDn_PZiTEjJcliIwmAxw%3BFWiykAIddFN2-w&mra=dpe&mrsp=2&sz=16&via=1,2&sll=43.040744,-76.135533&sspn=0.005865,0.010042&ie=UTF8&t=h&z=16"
"Route 340 Outbound Weekday S Route 340 Weekday Service Outbound 2011-05-06 to 2012-09-05-5 08:03","3","College Place","Meadowbrook & Lancaster","http://maps.google.com/maps?f=d&source=s_d&saddr=43.037288,-76.131468&daddr=43.0366,-76.12317+to:43.024648,-76.121802&hl=en&geocode=FWiykAIddFN2-w%3BFbivkAId3nN2-ynJJhapc_PZiTGFxc96l2PdvQ%3BFQiBkAIdNnl2-w&mra=dvme&mrsp=1&sz=18&via=1&sll=43.036497,-76.122884&sspn=0.001466,0.002511&ie=UTF8&t=h&z=18"
"Route 340 Outbound Weekday S Route 340 Weekday Service Outbound 2011-05-06 to 2012-09-05-5 08:03","4","Meadowbrook & Lancaster","Drumlins","http://maps.google.com/maps?f=d&source=s_d&saddr=43.024648,-76.121802&daddr=43.027148,-76.1181005+to:43.032147,-76.1147881+to:43.03479,-76.11498+to:43.020828,-76.105612&hl=en&geocode=FQiBkAIdNnl2-w%3BFcyKkAIdrId2-yltvI4PZfPZiTH3v_g_iSmHRA%3BFVOekAIdnJR2-yln6gDLbvPZiTHDqGx2EKz4-A%3BFaaokAId3JN2-ykNFZEGbPPZiTHHsiMGhMBoHw%3BFRxykAIddLh2-w&mra=dpe&mrsp=3&sz=16&via=1,2,3&sll=43.033168,-76.11474&sspn=0.005866,0.010042&ie=UTF8&ll=43.023365,-76.111329&spn=0.005867,0.010042&t=h&z=16"
"Route 340 Outbound Weekday S Route 340 Weekday Service Outbound 2011-05-06 to 2012-09-05-6 08:22","0","Regional Transportation Center","CAROUSEL CENTER","http://maps.google.com/maps?f=d&source=s_d&saddr=43.076619,-76.169514&daddr=43.06975,-76.175875"
"Route 340 Outbound Weekday S Route 340 Weekday Service Outbound 2011-05-06 to 2012-09-05-6 08:22","1","CAROUSEL CENTER","DOWNTOWN Fayette & Salina Sts.","http://maps.google.com/maps?saddr=43.06975,-76.175875&daddr=43.07026,-76.16966+to:43.0692896,-76.1688211+to:43.053116,-76.1534546+to:43.0487,-76.15358+to:43.048677,-76.152228&hl=en&ll=43.049353,-76.155596&spn=0.011823,0.022874&sll=43.050121,-76.154308&sspn=0.005911,0.011437&geocode=FTYxkQId_aV1-w%3BFTQzkQIdRL51-yml1f0ZL_LZiTHHDLhTnfFw8Q%3BFWkvkQIdi8F1-ylneox6LvLZiTFpDeS33cfijw%3BFTzwkAIdkv11-ykDZ8eNt_PZiTEyGujdbRYmug%3BFfzekAIdFP11-ynlFo_suPPZiTGdf7Q1VXCcHw%3BFeXekAIdXAJ2-w&vpsrc=6&mra=dpe&mrsp=4&sz=16&via=1,2,3,4&t=h&z=15"
"Route 340 Outbound Weekday S Route 340 Weekday Service Outbound 2011-05-06 to 2012-09-05-6 08:22","2","DOWNTOWN Fayette & Salina Sts.","Civic Center State & Madison","http://maps.google.com/maps?f=d&source=s_d&saddr=43.048677,-76.152228&daddr=43.045485,-76.147508"
"Route 340 Outbound Weekday S Route 340 Weekday Service Outbound 2011-05-06 to 2012-09-05-6 08:22","3","Civic Center State & Madison","Upstate University Hospital","http://maps.google.com/maps?f=d&source=s_d&saddr=43.045485,-76.147508&daddr=43.042686,-76.140552"
"Route 340 Outbound Weekday S Route 340 Weekday Service Outbound 2011-05-06 to 2012-09-05-6 08:22","4","Upstate University Hospital","College Place","http://maps.google.com/maps?f=d&source=s_d&saddr=43.042686,-76.140552&daddr=43.0442208,-76.137872+to:43.0403791,-76.136663+to:43.037288,-76.131468&hl=en&geocode=FX7HkAId-C92-w%3BFXzNkAIdcDp2-ynDi03bo_PZiTEwtfamaib2Iw%3BFXu-kAIdKT92-ylxLJdDn_PZiTEjJcliIwmAxw%3BFWiykAIddFN2-w&mra=dpe&mrsp=2&sz=16&via=1,2&sll=43.040744,-76.135533&sspn=0.005865,0.010042&ie=UTF8&t=h&z=16"
"Route 340 Outbound Weekday S Route 340 Weekday Service Outbound 2011-05-06 to 2012-09-05-6 08:22","5","College Place","Meadowbrook & Lancaster","http://maps.google.com/maps?f=d&source=s_d&saddr=43.037288,-76.131468&daddr=43.0366,-76.12317+to:43.024648,-76.121802&hl=en&geocode=FWiykAIddFN2-w%3BFbivkAId3nN2-ynJJhapc_PZiTGFxc96l2PdvQ%3BFQiBkAIdNnl2-w&mra=dvme&mrsp=1&sz=18&via=1&sll=43.036497,-76.122884&sspn=0.001466,0.002511&ie=UTF8&t=h&z=18"
"Route 340 Outbound Weekday S Route 340 Weekday Service Outbound 2011-05-06 to 2012-09-05-6 08:22","6","Meadowbrook & Lancaster","Drumlins","http://maps.google.com/maps?f=d&source=s_d&saddr=43.024648,-76.121802&daddr=43.027148,-76.1181005+to:43.032147,-76.1147881+to:43.03479,-76.11498+to:43.020828,-76.105612&hl=en&geocode=FQiBkAIdNnl2-w%3BFcyKkAIdrId2-yltvI4PZfPZiTH3v_g_iSmHRA%3BFVOekAIdnJR2-yln6gDLbvPZiTHDqGx2EKz4-A%3BFaaokAId3JN2-ykNFZEGbPPZiTHHsiMGhMBoHw%3BFRxykAIddLh2-w&mra=dpe&mrsp=3&sz=16&via=1,2,3&sll=43.033168,-76.11474&sspn=0.005866,0.010042&ie=UTF8&ll=43.023365,-76.111329&spn=0.005867,0.010042&t=h&z=16"
"Route 340 Outbound Weekday S Route 340 Weekday Service Outbound 2011-05-06 to 2012-09-05-7 09:32","0","Regional Transportation Center","CAROUSEL CENTER","http://maps.google.com/maps?f=d&source=s_d&saddr=43.076619,-76.169514&daddr=43.06975,-76.175875"
"Route 340 Outbound Weekday S Route 340 Weekday Service Outbound 2011-05-06 to 2012-09-05-7 09:32","1","CAROUSEL CENTER","DOWNTOWN Fayette & Salina Sts.","http://maps.google.com/maps?saddr=43.06975,-76.175875&daddr=43.07026,-76.16966+to:43.0692896,-76.1688211+to:43.053116,-76.1534546+to:43.0487,-76.15358+to:43.048677,-76.152228&hl=en&ll=43.049353,-76.155596&spn=0.011823,0.022874&sll=43.050121,-76.154308&sspn=0.005911,0.011437&geocode=FTYxkQId_aV1-w%3BFTQzkQIdRL51-yml1f0ZL_LZiTHHDLhTnfFw8Q%3BFWkvkQIdi8F1-ylneox6LvLZiTFpDeS33cfijw%3BFTzwkAIdkv11-ykDZ8eNt_PZiTEyGujdbRYmug%3BFfzekAIdFP11-ynlFo_suPPZiTGdf7Q1VXCcHw%3BFeXekAIdXAJ2-w&vpsrc=6&mra=dpe&mrsp=4&sz=16&via=1,2,3,4&t=h&z=15"
"Route 340 Outbound Weekday S Route 340 Weekday Service Outbound 2011-05-06 to 2012-09-05-7 09:32","2","DOWNTOWN Fayette & Salina Sts.","Civic Center State & Madison","http://maps.google.com/maps?f=d&source=s_d&saddr=43.048677,-76.152228&daddr=43.045485,-76.147508"
"Route 340 Outbound Weekday S Route 340 Weekday Service Outbound 2011-05-06 to 2012-09-05-7 09:32","3","Civic Center State & Madison","Upstate University Hospital","http://maps.google.com/maps?f=d&source=s_d&saddr=43.045485,-76.147508&daddr=43.042686,-76.140552"
"Route 340 Outbound Weekday S Route 340 Weekday Service Outbound 2011-05-06 to 2012-09-05-7 09:32","4","Upstate University Hospital","College Place","http://maps.google.com/maps?f=d&source=s_d&saddr=43.042686,-76.140552&daddr=43.0442208,-76.137872+to:43.0403791,-76.136663+to:43.037288,-76.131468&hl=en&geocode=FX7HkAId-C92-w%3BFXzNkAIdcDp2-ynDi03bo_PZiTEwtfamaib2Iw%3BFXu-kAIdKT92-ylxLJdDn_PZiTEjJcliIwmAxw%3BFWiykAIddFN2-w&mra=dpe&mrsp=2&sz=16&via=1,2&sll=43.040744,-76.135533&sspn=0.005865,0.010042&ie=UTF8&t=h&z=16"
"Route 340 Outbound Weekday S Route 340 Weekday Service Outbound 2011-05-06 to 2012-09-05-7 09:32","5","College Place","Meadowbrook & Lancaster","http://maps.google.com/maps?f=d&source=s_d&saddr=43.037288,-76.131468&daddr=43.0366,-76.12317+to:43.024648,-76.121802&hl=en&geocode=FWiykAIddFN2-w%3BFbivkAId3nN2-ynJJhapc_PZiTGFxc96l2PdvQ%3BFQiBkAIdNnl2-w&mra=dvme&mrsp=1&sz=18&via=1&sll=43.036497,-76.122884&sspn=0.001466,0.002511&ie=UTF8&t=h&z=18"
"Route 340 Outbound Weekday S Route 340 Weekday Service Outbound 2011-05-06 to 2012-09-05-7 09:32","6","Meadowbrook & Lancaster","Drumlins","http://maps.google.com/maps?f=d&source=s_d&saddr=43.024648,-76.121802&daddr=43.027148,-76.1181005+to:43.032147,-76.1147881+to:43.03479,-76.11498+to:43.020828,-76.105612&hl=en&geocode=FQiBkAIdNnl2-w%3BFcyKkAIdrId2-yltvI4PZfPZiTH3v_g_iSmHRA%3BFVOekAIdnJR2-yln6gDLbvPZiTHDqGx2EKz4-A%3BFaaokAId3JN2-ykNFZEGbPPZiTHHsiMGhMBoHw%3BFRxykAIddLh2-w&mra=dpe&mrsp=3&sz=16&via=1,2,3&sll=43.033168,-76.11474&sspn=0.005866,0.010042&ie=UTF8&ll=43.023365,-76.111329&spn=0.005867,0.010042&t=h&z=16"
"Route 340 Outbound Weekday S Route 340 Weekday Service Outbound 2011-05-06 to 2012-09-05-8 10:45","0","College Place","Meadowbrook & Lancaster","http://maps.google.com/maps?f=d&source=s_d&saddr=43.037288,-76.131468&daddr=43.0366,-76.12317+to:43.024648,-76.121802&hl=en&geocode=FWiykAIddFN2-w%3BFbivkAId3nN2-ynJJhapc_PZiTGFxc96l2PdvQ%3BFQiBkAIdNnl2-w&mra=dvme&mrsp=1&sz=18&via=1&sll=43.036497,-76.122884&sspn=0.001466,0.002511&ie=UTF8&t=h&z=18"
"Route 340 Outbound Weekday S Route 340 Weekday Service Outbound 2011-05-06 to 2012-09-05-8 10:45","1","Meadowbrook & Lancaster","Drumlins","http://maps.google.com/maps?f=d&source=s_d&saddr=43.024648,-76.121802&daddr=43.027148,-76.1181005+to:43.032147,-76.1147881+to:43.03479,-76.11498+to:43.020828,-76.105612&hl=en&geocode=FQiBkAIdNnl2-w%3BFcyKkAIdrId2-yltvI4PZfPZiTH3v_g_iSmHRA%3BFVOekAIdnJR2-yln6gDLbvPZiTHDqGx2EKz4-A%3BFaaokAId3JN2-ykNFZEGbPPZiTHHsiMGhMBoHw%3BFRxykAIddLh2-w&mra=dpe&mrsp=3&sz=16&via=1,2,3&sll=43.033168,-76.11474&sspn=0.005866,0.010042&ie=UTF8&ll=43.023365,-76.111329&spn=0.005867,0.010042&t=h&z=16"
"Route 340 Outbound Weekday S Route 340 Weekday Service Outbound 2011-05-06 to 2012-09-05-9 10:40","0","Regional Transportation Center","CAROUSEL CENTER","http://maps.google.com/maps?f=d&source=s_d&saddr=43.076619,-76.169514&daddr=43.06975,-76.175875"
"Route 340 Outbound Weekday S Route 340 Weekday Service Outbound 2011-05-06 to 2012-09-05-9 10:40","1","CAROUSEL CENTER","DOWNTOWN Fayette & Salina Sts.","http://maps.google.com/maps?saddr=43.06975,-76.175875&daddr=43.07026,-76.16966+to:43.0692896,-76.1688211+to:43.053116,-76.1534546+to:43.0487,-76.15358+to:43.048677,-76.152228&hl=en&ll=43.049353,-76.155596&spn=0.011823,0.022874&sll=43.050121,-76.154308&sspn=0.005911,0.011437&geocode=FTYxkQId_aV1-w%3BFTQzkQIdRL51-yml1f0ZL_LZiTHHDLhTnfFw8Q%3BFWkvkQIdi8F1-ylneox6LvLZiTFpDeS33cfijw%3BFTzwkAIdkv11-ykDZ8eNt_PZiTEyGujdbRYmug%3BFfzekAIdFP11-ynlFo_suPPZiTGdf7Q1VXCcHw%3BFeXekAIdXAJ2-w&vpsrc=6&mra=dpe&mrsp=4&sz=16&via=1,2,3,4&t=h&z=15"
"Route 340 Outbound Weekday S Route 340 Weekday Service Outbound 2011-05-06 to 2012-09-05-9 10:40","2","DOWNTOWN Fayette & Salina Sts.","Civic Center State & Madison","http://maps.google.com/maps?f=d&source=s_d&saddr=43.048677,-76.152228&daddr=43.045485,-76.147508"
"Route 340 Outbound Weekday S Route 340 Weekday Service Outbound 2011-05-06 to 2012-09-05-9 10:40","3","Civic Center State & Madison","Upstate University Hospital","http://maps.google.com/maps?f=d&source=s_d&saddr=43.045485,-76.147508&daddr=43.042686,-76.140552"
"Route 340 Outbound Weekday S Route 340 Weekday Service Outbound 2011-05-06 to 2012-09-05-9 10:40","4","Upstate University Hospital","College Place","http://maps.google.com/maps?f=d&source=s_d&saddr=43.042686,-76.140552&daddr=43.0442208,-76.137872+to:43.0403791,-76.136663+to:43.037288,-76.131468&hl=en&geocode=FX7HkAId-C92-w%3BFXzNkAIdcDp2-ynDi03bo_PZiTEwtfamaib2Iw%3BFXu-kAIdKT92-ylxLJdDn_PZiTEjJcliIwmAxw%3BFWiykAIddFN2-w&mra=dpe&mrsp=2&sz=16&via=1,2&sll=43.040744,-76.135533&sspn=0.005865,0.010042&ie=UTF8&t=h&z=16"
"Route 340 Outbound Weekday S Route 340 Weekday Service Outbound 2011-05-06 to 2012-09-05-9 10:40","5","College Place","Meadowbrook & Lancaster","http://maps.google.com/maps?f=d&source=s_d&saddr=43.037288,-76.131468&daddr=43.0366,-76.12317+to:43.024648,-76.121802&hl=en&geocode=FWiykAIddFN2-w%3BFbivkAId3nN2-ynJJhapc_PZiTGFxc96l2PdvQ%3BFQiBkAIdNnl2-w&mra=dvme&mrsp=1&sz=18&via=1&sll=43.036497,-76.122884&sspn=0.001466,0.002511&ie=UTF8&t=h&z=18"
"Route 340 Outbound Weekday S Route 340 Weekday Service Outbound 2011-05-06 to 2012-09-05-9 10:40","6","Meadowbrook & Lancaster","Drumlins","http://maps.google.com/maps?f=d&source=s_d&saddr=43.024648,-76.121802&daddr=43.027148,-76.1181005+to:43.032147,-76.1147881+to:43.03479,-76.11498+to:43.020828,-76.105612&hl=en&geocode=FQiBkAIdNnl2-w%3BFcyKkAIdrId2-yltvI4PZfPZiTH3v_g_iSmHRA%3BFVOekAIdnJR2-yln6gDLbvPZiTHDqGx2EKz4-A%3BFaaokAId3JN2-ykNFZEGbPPZiTHHsiMGhMBoHw%3BFRxykAIddLh2-w&mra=dpe&mrsp=3&sz=16&via=1,2,3&sll=43.033168,-76.11474&sspn=0.005866,0.010042&ie=UTF8&ll=43.023365,-76.111329&spn=0.005867,0.010042&t=h&z=16"
"Route 340 Outbound Weekday S Route 340 Weekday Service Outbound 2011-05-06 to 2012-09-05-10 11:55","0","College Place","Meadowbrook & Lancaster","http://maps.google.com/maps?f=d&source=s_d&saddr=43.037288,-76.131468&daddr=43.0366,-76.12317+to:43.024648,-76.121802&hl=en&geocode=FWiykAIddFN2-w%3BFbivkAId3nN2-ynJJhapc_PZiTGFxc96l2PdvQ%3BFQiBkAIdNnl2-w&mra=dvme&mrsp=1&sz=18&via=1&sll=43.036497,-76.122884&sspn=0.001466,0.002511&ie=UTF8&t=h&z=18"
"Route 340 Outbound Weekday S Route 340 Weekday Service Outbound 2011-05-06 to 2012-09-05-10 11:55","1","Meadowbrook & Lancaster","Drumlins","http://maps.google.com/maps?f=d&source=s_d&saddr=43.024648,-76.121802&daddr=43.027148,-76.1181005+to:43.032147,-76.1147881+to:43.03479,-76.11498+to:43.020828,-76.105612&hl=en&geocode=FQiBkAIdNnl2-w%3BFcyKkAIdrId2-yltvI4PZfPZiTH3v_g_iSmHRA%3BFVOekAIdnJR2-yln6gDLbvPZiTHDqGx2EKz4-A%3BFaaokAId3JN2-ykNFZEGbPPZiTHHsiMGhMBoHw%3BFRxykAIddLh2-w&mra=dpe&mrsp=3&sz=16&via=1,2,3&sll=43.033168,-76.11474&sspn=0.005866,0.010042&ie=UTF8&ll=43.023365,-76.111329&spn=0.005867,0.010042&t=h&z=16"
"Route 340 Outbound Weekday S Route 340 Weekday Service Outbound 2011-05-06 to 2012-09-05-11 11:50","0","Regional Transportation Center","CAROUSEL CENTER","http://maps.google.com/maps?f=d&source=s_d&saddr=43.076619,-76.169514&daddr=43.06975,-76.175875"
